count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
59,0.863491,243.869171,1011.591553,29.726562,0.567627,0.835632,1.533203,-17.406012,-16.072762,80.865097,-37.548908,-6.31852,-311.931641
60,0.878248,243.869171,1011.605957,29.726562,0.588135,0.896179,1.52002,-14.90357,-3.62159,65.972519,-29.726219,1.57963,-316.474335
61,0.890894,243.869171,1011.612305,29.726562,0.566162,0.999207,1.527344,-6.663824,4.862297,46.624374,-42.242523,-4.73889,-328.588165
62,0.903539,243.869171,1011.585449,29.726562,0.576416,1.064148,1.523438,-4.588629,6.449211,43.572617,-40.677982,6.31852,-314.960083
63,0.918305,243.869171,1011.577637,29.726562,0.630127,1.065613,1.539551,5.115961,5.350578,57.549667,-39.113445,20.535187,-304.360443
64,0.930947,243.869171,1011.602051,29.726562,0.624756,0.992859,1.543457,11.768793,-1.485359,69.085312,-43.80706,9.477779,-314.960083
65,0.943594,243.869171,1011.584229,29.726562,0.621338,0.931824,1.553711,17.750238,-13.814461,76.28746,-29.726219,4.73889,-310.417358
66,0.956252,100.527061,1011.616211,29.726562,0.579346,0.904968,1.544434,21.168207,-18.819344,75.127792,-29.726219,4.73889,-295.275085
67,0.971053,100.527061,1011.598145,29.726562,0.552002,0.900085,1.541016,18.604731,-16.561043,73.113632,-48.500675,11.057408,-310.417358
68,1.015458,100.527061,1011.601318,29.726562,0.661377,0.975281,1.672852,26.539301,-30.049812,78.606796,-37.548908,3.15926,-299.81778
69,1.02816,100.527061,1011.605713,29.726562,0.674561,0.959656,1.64502,25.501703,-30.843269,77.752304,-48.500675,4.73889,-304.360443
70,1.040865,100.527061,1011.582275,29.726562,0.640869,0.973328,1.628418,25.440668,-28.340828,79.522324,-31.290758,12.637039,-305.874725
71,1.055678,100.527061,1011.580078,29.703125,0.623291,0.992371,1.594238,23.487543,-25.960457,84.09996,-32.855293,7.898149,-295.275085
72,1.068308,100.527061,1011.602539,29.703125,0.661865,0.973328,1.576172,23.609613,-21.321785,88.372421,-29.726219,4.73889,-301.332031
73,1.080931,100.527061,1011.609863,29.703125,0.619873,0.976257,1.587402,27.210688,-19.307625,87.701035,-35.984371,14.216669,-301.332031
74,1.093563,100.527061,1011.589355,29.703125,0.617432,0.959167,1.595703,32.154533,-21.016609,84.588242,-25.032606,6.31852,-302.846222
75,1.10829,100.527061,1011.621582,29.703125,0.57251,0.930847,1.572266,36.6101,-25.04493,78.484726,-18.774454,18.955559,-299.81778
76,1.120915,100.527061,1011.609131,29.703125,0.5354,0.910828,1.541992,37.159416,-23.580086,70.12291,-32.855293,14.216669,-304.360443
77,1.13354,100.527061,1011.613525,29.703125,0.531494,0.891785,1.487305,30.506586,-17.3545,75.432968,-18.774454,3.15926,-302.846222
78,1.148254,100.527061,1011.606201,29.703125,0.501221,0.841003,1.47168,18.543695,-3.560555,83.428574,-28.161682,6.31852,-299.81778
79,1.160857,100.527061,1011.603516,29.703125,0.529053,0.729675,1.612305,18.604731,14.200676,84.954453,-34.41983,6.31852,-311.931641
80,1.173457,100.527061,1011.561768,29.703125,0.686279,0.974792,1.71875,49.000237,0.28466,30.266953,-35.984371,7.898149,-286.189697
81,1.186062,100.527061,1011.574463,29.703125,0.633545,0.735535,1.762207,32.154533,5.533684,27.215195,-34.41983,15.796299,-302.846222
82,1.200782,100.527061,1011.625732,29.703125,0.5354,0.779968,1.770508,10.487055,-2.522957,32.708359,-45.371601,23.694448,-292.246613
83,1.213383,100.527061,1011.598145,29.703125,0.655518,0.856628,1.733887,-6.785894,3.214348,35.699081,-40.677982,25.274078,-296.789307
84,1.225983,100.527061,1011.569092,29.703125,0.61792,0.807312,1.629395,-8.372808,12.613762,38.201523,-50.065212,9.477779,-293.760834
85,1.238576,100.527061,1011.60498,29.703125,0.550537,0.839539,1.588379,-2.147223,4.801262,53.399277,-32.855293,20.535187,-298.303528
86,1.253321,100.527061,1011.588623,29.703125,0.516846,0.883972,1.609863,2.064203,-7.77198,70.611191,-37.548908,22.114817,-281.647003
87,1.297822,100.527061,1011.582764,29.71875,0.505615,0.830261,1.625,29.95727,-23.27491,32.464218,-39.113445,36.331486,-258.933533
88,1.31044,100.527061,1011.606445,29.71875,0.650635,0.990417,1.716309,38.868401,-33.895027,22.881699,-34.41983,41.070374,-281.647003
89,1.323051,100.527061,1011.573242,29.71875,0.649658,1.056824,1.744141,28.431391,-29.439461,34.844589,-34.41983,41.070374,-278.61853
90,1.337762,100.527061,1011.577881,29.71875,0.509521,0.94989,1.603027,19.520258,-22.786629,36.126328,-39.113445,20.535187,-264.990448
